hospital_id,hospital_name,hour_idx,hour_of_day,day_of_week,occupancy
H01,Victoria Hospital,0,0,0,0.6929573289902354
H01,Victoria Hospital,1,1,0,0.7134184139042378
H01,Victoria Hospital,2,2,0,0.7181194415771192
H01,Victoria Hospital,3,3,0,0.7318249986258849
H01,Victoria Hospital,4,4,0,0.7488016052453428
H01,Victoria Hospital,5,5,0,0.802358909890689
H01,Victoria Hospital,6,6,0,0.7721494774500856
H01,Victoria Hospital,7,7,0,0.790784743100845
H01,Victoria Hospital,8,8,0,0.8040949158054128
H01,Victoria Hospital,9,9,0,0.8493047976131004
H01,Victoria Hospital,10,10,0,0.872324441120136
H01,Victoria Hospital,11,11,0,0.8555043762092873
H01,Victoria Hospital,12,12,0,0.843752426016305
H01,Victoria Hospital,13,13,0,0.8413862936411525
H01,Victoria Hospital,14,14,0,0.8629420362073973
H01,Victoria Hospital,15,15,0,0.8521280703634372
H01,Victoria Hospital,16,16,0,0.8316038261068447
H01,Victoria Hospital,17,17,0,0.7881823664994649
H01,Victoria Hospital,18,18,0,0.7854765597946678
H01,Victoria Hospital,19,19,0,0.7625078222042425
H01,Victoria Hospital,20,20,0,0.7452996978605061
H01,Victoria Hospital,21,21,0,0.7418322552862623
H01,Victoria Hospital,22,22,0,0.7162083971912571
H01,Victoria Hospital,23,23,0,0.7173690199731272
H01,Victoria Hospital,24,0,1,0.702462692500889
H01,Victoria Hospital,25,1,1,0.7096657292780817
H01,Victoria Hospital,26,2,1,0.7245474359177194
H01,Victoria Hospital,27,3,1,0.6955383411079629
H01,Victoria Hospital,28,4,1,0.7349028719691503
H01,Victoria Hospital,29,5,1,0.7512296158985351
H01,Victoria Hospital,30,6,1,0.7686113319240221
H01,Victoria Hospital,31,7,1,0.7966378637688531
H01,Victoria Hospital,32,8,1,0.8513803077061695
H01,Victoria Hospital,33,9,1,0.8207796979588368
H01,Victoria Hospital,34,10,1,0.8702216734686588
H01,Victoria Hospital,35,11,1,0.8252370410411798
H01,Victoria Hospital,36,12,1,0.8549689660669512
H01,Victoria Hospital,37,13,1,0.8622420903681886
H01,Victoria Hospital,38,14,1,0.8627657381891999
H01,Victoria Hospital,39,15,1,0.8525986296463365
H01,Victoria Hospital,40,16,1,0.8377187965558505
H01,Victoria Hospital,41,17,1,0.795629170311381
H01,Victoria Hospital,42,18,1,0.7726974085911531
H01,Victoria Hospital,43,19,1,0.7784447347576823
H01,Victoria Hospital,44,20,1,0.7382109505394048
H01,Victoria Hospital,45,21,1,0.7000010643716511
H01,Victoria Hospital,46,22,1,0.6901818530468049
H01,Victoria Hospital,47,23,1,0.6865128141027683
H01,Victoria Hospital,48,0,2,0.7121654371032976
H01,Victoria Hospital,49,1,2,0.7078429671368044
H01,Victoria Hospital,50,2,2,0.726842489593415
H01,Victoria Hospital,51,3,2,0.7172475156894567
H01,Victoria Hospital,52,4,2,0.7455782012289417
H01,Victoria Hospital,53,5,2,0.7742599879748487
H01,Victoria Hospital,54,6,2,0.7763130692055952
H01,Victoria Hospital,55,7,2,0.8123873246556462
H01,Victoria Hospital,56,8,2,0.8093540737712597
H01,Victoria Hospital,57,9,2,0.8319463544525113
H01,Victoria Hospital,58,10,2,0.8443324596079738
H01,Victoria Hospital,59,11,2,0.8360887546728262
H01,Victoria Hospital,60,12,2,0.8725172273934894
H01,Victoria Hospital,61,13,2,0.8507100933731451
H01,Victoria Hospital,62,14,2,0.8524022850476792
